timestamp,ver,RideType,City,Device_Type,OS_Version,Ride_Cancellations,Rides_Completed,Ride_Request_WaitTime,Driver_Request_API_Errors
1512867600,RS200,Shared,Los_Angeles,Mobile,Android,6241.5174,11320.5833,2434.6632,1772.2415
1512871200,RS200,Shared,Los_Angeles,Mobile,Android,6840.4272,11429.2984,2611.5766,1886.1431
1512874800,RS200,Shared,Los_Angeles,Mobile,Android,7421.9474,11509.1625,2859.7099,1970.7529
1512878400,RS200,Shared,Los_Angeles,Mobile,Android,7780.715,11350.5748,2986.9979,2076.0819
1512882000,RS200,Shared,Los_Angeles,Mobile,Android,7996.7762,11804.1036,2976.7476,2238.1518
1512885600,RS200,Shared,Los_Angeles,Mobile,Android,8419.7423,12170.0561,3261.5709,2271.4699
1512889200,RS200,Shared,Los_Angeles,Mobile,Android,8786.5432,12108.2465,3335.1879,2387.5889
1512892800,RS200,Shared,Los_Angeles,Mobile,Android,9063.8126,12521.0838,3471.2291,2512.5467
1512896400,RS200,Shared,Los_Angeles,Mobile,Android,9421.5768,12783.9341,3619.6129,2606.8326
1512900000,RS200,Shared,Los_Angeles,Mobile,Android,9917.5559,12763.9696,3793.3173,2721.8326
1512903600,RS200,Shared,Los_Angeles,Mobile,Android,10218.4679,13047.1397,3872.3321,2760.2747
1512907200,RS200,Shared,Los_Angeles,Mobile,Android,10277.5605,12860.5763,3908.134,2783.7454
1512910800,RS200,Shared,Los_Angeles,Mobile,Android,10040.9007,13421.636,3819.8961,2822.3455
1512914400,RS200,Shared,Los_Angeles,Mobile,Android,10041.4688,13733.8345,3835.2349,2679.4554
1512918000,RS200,Shared,Los_Angeles,Mobile,Android,10532.346,13684.0006,4049.147,2851.1187
1512921600,RS200,Shared,Los_Angeles,Mobile,Android,10654.2708,14038.7178,4056.5353,2940.8275
1512925200,RS200,Shared,Los_Angeles,Mobile,Android,11159.7801,14006.3693,4176.5184,2973.6954
1512928800,RS200,Shared,Los_Angeles,Mobile,Android,11071.4903,14568.9167,4155.2537,2978.2259
1512932400,RS200,Shared,Los_Angeles,Mobile,Android,10788.3315,14323.5291,4076.8247,2859.7682
1512936000,RS200,Shared,Los_Angeles,Mobile,Android,10238.8668,14188.1895,3885.1698,2777.1494
1512939600,RS200,Shared,Los_Angeles,Mobile,Android,9489.018,14063.2237,3568.1807,2540.9357
1512943200,RS200,Shared,Los_Angeles,Mobile,Android,8544.9736,13454.4028,3307.3896,2377.4204
1512946800,RS200,Shared,Los_Angeles,Mobile,Android,7931.9596,13050.3021,3060.7627,2168.3354
1512950400,RS200,Shared,Los_Angeles,Mobile,Android,7684.0453,12538.9666,2905.1911,2124.6209
1512954000,RS200,Shared,Los_Angeles,Mobile,Android,7559.4244,11857.3112,2777.1324,1984.2702
1512957600,RS200,Shared,Los_Angeles,Mobile,Android,7574.8036,11614.5,2869.0097,2096.1337
1512961200,RS200,Shared,Los_Angeles,Mobile,Android,7375.6691,11300.3214,2902.1266,2024.6003
1512964800,RS200,Shared,Los_Angeles,Mobile,Android,7668.1581,11580.4423,2914.6586,2036.9619
1512968400,RS200,Shared,Los_Angeles,Mobile,Android,7902.1679,11764.7741,3134.7419,2167.3459
1512972000,RS200,Shared,Los_Angeles,Mobile,Android,8599.9801,12226.2448,3168.5243,2258.0034
1512975600,RS200,Shared,Los_Angeles,Mobile,Android,8883.7379,11909.1481,3426.8954,2334.1787
1512979200,RS200,Shared,Los_Angeles,Mobile,Android,9102.0982,12286.2513,3502.3731,2538.6582
1512982800,RS200,Shared,Los_Angeles,Mobile,Android,9596.6915,12493.9663,3592.8188,2598.4884
1512986400,RS200,Shared,Los_Angeles,Mobile,Android,10001.0172,12839.4065,3724.04,2659.1066
1512990000,RS200,Shared,Los_Angeles,Mobile,Android,10008.3544,12744.3299,3928.4282,2846.8745
1512993600,RS200,Shared,Los_Angeles,Mobile,Android,10167.417,13129.4004,3869.4714,2736.6742
1512997200,RS200,Shared,Los_Angeles,Mobile,Android,10111.7754,12972.1297,3842.6471,2802.469
1513000800,RS200,Shared,Los_Angeles,Mobile,Android,10109.6305,13273.2835,3995.4576,2800.3197
1513004400,RS200,Shared,Los_Angeles,Mobile,Android,10446.8217,13895.3883,3999.7933,2914.6465
1513008000,RS200,Shared,Los_Angeles,Mobile,Android,10935.8122,13525.3768,4242.6819,2942.6904
1513011600,RS200,Shared,Los_Angeles,Mobile,Android,10924.5596,14201.8243,4174.6614,3002.6689
1513015200,RS200,Shared,Los_Angeles,Mobile,Android,11029.7091,14549.5213,4197.0568,2964.2613
1513018800,RS200,Shared,Los_Angeles,Mobile,Android,10630.6645,14620.9471,4051.6197,2889.4081
1513022400,RS200,Shared,Los_Angeles,Mobile,Android,10349.7408,14306.9825,3878.2613,2747.621
1513026000,RS200,Shared,Los_Angeles,Mobile,Android,9478.7943,14080.7724,3553.9864,2584.3754
1513029600,RS200,Shared,Los_Angeles,Mobile,Android,8731.8405,13455.6302,3287.4494,2337.2044
1513033200,RS200,Shared,Los_Angeles,Mobile,Android,7966.876,12772.4969,3106.8007,2206.3433
1513036800,RS200,Shared,Los_Angeles,Mobile,Android,7765.4267,12140.4714,2896.7627,2034.7918
1513040400,RS200,Shared,Los_Angeles,Mobile,Android,7389.4526,11804.7472,2839.06,2063.7256
1513044000,RS200,Shared,Los_Angeles,Mobile,Android,7636.6796,11668.8638,2821.5607,2113.3302
1513047600,RS200,Shared,Los_Angeles,Mobile,Android,7504.9093,11302.9652,2885.5389,2060.2124
1513051200,RS200,Shared,Los_Angeles,Mobile,Android,7513.4106,11503.4147,2955.2244,2066.3403
1513054800,RS200,Shared,Los_Angeles,Mobile,Android,8226.7367,11501.7727,3035.4519,2225.8522
1513058400,RS200,Shared,Los_Angeles,Mobile,Android,8443.3522,11818.4267,3220.7688,2270.3352
1513062000,RS200,Shared,Los_Angeles,Mobile,Android,8652.8203,12119.403,3358.7019,2410.4995
1513065600,RS200,Shared,Los_Angeles,Mobile,Android,8994.0016,12454.4135,3473.307,2532.5658
1513069200,RS200,Shared,Los_Angeles,Mobile,Android,9314.8664,12564.3139,3569.8188,2520.2992
1513072800,RS200,Shared,Los_Angeles,Mobile,Android,9824.4367,12755.0478,3830.1315,2661.5989
1513076400,RS200,Shared,Los_Angeles,Mobile,Android,10118.8047,13222.0542,3900.0918,2807.3661
1513080000,RS200,Shared,Los_Angeles,Mobile,Android,10406.3702,12912.9373,4115.54,2951.4229
1513083600,RS200,Shared,Los_Angeles,Mobile,Android,10645.8263,13293.5042,4038.5753,2877.9322
1513087200,RS200,Shared,Los_Angeles,Mobile,Android,10616.2452,13622.5086,3999.8434,2889.2179
1513090800,RS200,Shared,Los_Angeles,Mobile,Android,10606.4585,13957.9865,4090.6824,2847.5518
1513094400,RS200,Shared,Los_Angeles,Mobile,Android,10788.3349,14147.8539,4166.9801,3003.7491
1513098000,RS200,Shared,Los_Angeles,Mobile,Android,10998.875,14123.8868,4204.0155,2959.929
1513101600,RS200,Shared,Los_Angeles,Mobile,Android,10713.898,14546.2181,4187.4222,2998.3429
1513105200,RS200,Shared,Los_Angeles,Mobile,Android,10574.0314,14589.1173,4028.8561,2890.492
